# Time (seconds),X,Y,Z
0.0012499,-0.38307225704193115,-0.31364041566848755,9.821015357971191
0.0037499,-0.3711012601852417,-0.31603461503982544,9.825803756713867
0.0062499,-0.36152446269989014,-0.3232172429561615,9.840168952941895
0.0087499,-0.35434186458587646,-0.3232172429561615,9.847352027893066
0.0112499,-0.3519476354122162,-0.3256114423274994,9.859322547912598
0.0137499,-0.35913026332855225,-0.31842881441116333,9.864110946655273
0.016249899999999998,-0.36152446269989014,-0.31364041566848755,9.86650562286377
0.0187499,-0.3663128614425659,-0.3016694188117981,9.864110946655273
0.021249900000000002,-0.3687070608139038,-0.29209262132644653,9.859322547912598
0.023749899999999997,-0.3663128614425659,-0.28730419278144836,9.854534149169922
0.0262499,-0.35913026332855225,-0.28969839215278625,9.847352027893066
0.028749900000000002,-0.3471592366695404,-0.2944868206977844,9.840168952941895
0.031249899999999997,-0.33758243918418884,-0.2968810200691223,9.835380554199219
0.0337499,-0.3280056416988373,-0.2992752194404602,9.830592155456543
0.0362499,-0.3256114423274994,-0.2992752194404602,9.828198432922363
0.0387499,-0.3232172429561615,-0.2944868206977844,9.828198432922363
0.0412499,-0.33518823981285095,-0.2968810200691223,9.830592155456543
0.0437499,-0.35673606395721436,-0.2944868206977844,9.825803756713867
0.0462499,-0.37828385829925537,-0.29209262132644653,9.828198432922363
0.0487499,-0.3974374830722809,-0.28730419278144836,9.830592155456543
0.0512499,-0.40462008118629456,-0.2849099934101105,9.830592155456543
0.053749899999999996,-0.395043283700943,-0.28730419278144836,9.832986831665039
0.0562499,-0.38307225704193115,-0.29209262132644653,9.828198432922363
0.0587499,-0.3711012601852417,-0.3016694188117981,9.825803756713867
0.061249899999999996,-0.35913026332855225,-0.30885201692581177,9.828198432922363
0.0637499,-0.35434186458587646,-0.31124621629714966,9.830592155456543
0.0662499,-0.3519476354122162,-0.31124621629714966,9.832986831665039
0.0687499,-0.35434186458587646,-0.3064578175544739,9.832986831665039
0.0712499,-0.36152446269989014,-0.3016694188117981,9.830592155456543
0.0737499,-0.3711012601852417,-0.2944868206977844,9.835380554199219
0.0762499,-0.37828385829925537,-0.28730419278144836,9.837775230407715
0.0787499,-0.3878606855869293,-0.2825157940387726,9.837775230407715
0.0812499,-0.3926490843296051,-0.2801215946674347,9.835380554199219
0.0837499,-0.3998316824436188,-0.2801215946674347,9.830592155456543
0.0862499,-0.40222588181495667,-0.2849099934101105,9.825803756713867
0.0887499,-0.3998316824436188,-0.28730419278144836,9.830592155456543
0.0912499,-0.3926490843296051,-0.28969839215278625,9.828198432922363
0.0937499,-0.38067805767059326,-0.2944868206977844,9.830592155456543
0.0962499,-0.3687070608139038,-0.2968810200691223,9.830592155456543
0.0987499,-0.35673606395721436,-0.3016694188117981,9.823410034179688
0.1012499,-0.3471592366695404,-0.3016694188117981,9.825803756713867
0.1037499,-0.33518823981285095,-0.304063618183136,9.823410034179688
0.1062499,-0.33518823981285095,-0.3016694188117981,9.823410034179688
0.1087499,-0.33997663855552673,-0.304063618183136,9.823410034179688
0.1112499,-0.35434186458587646,-0.2992752194404602,9.830592155456543
0.1137499,-0.3711012601852417,-0.2992752194404602,9.835380554199219
0.1162499,-0.38307225704193115,-0.2968810200691223,9.832986831665039
0.1187499,-0.38546648621559143,-0.29209262132644653,9.835380554199219
0.1212499,-0.3902548849582672,-0.2944868206977844,9.832986831665039
0.1237499,-0.38546648621559143,-0.2968810200691223,9.837775230407715
0.1262499,-0.38307225704193115,-0.3016694188117981,9.84256362915039
0.1287499,-0.3734954595565796,-0.304063618183136,9.847352027893066
0.1312499,-0.363918662071228,-0.30885201692581177,9.84495735168457
0.1337499,-0.35434186458587646,-0.30885201692581177,9.84256362915039
0.1362499,-0.3471592366695404,-0.3064578175544739,9.832986831665039
0.1387499,-0.3495534360408783,-0.3016694188117981,9.832986831665039
0.1412499,-0.3519476354122162,-0.3016694188117981,9.828198432922363
0.1437499,-0.35913026332855225,-0.3016694188117981,9.828198432922363
0.1462499,-0.35913026332855225,-0.3064578175544739,9.828198432922363
0.1487499,-0.35913026332855225,-0.3064578175544739,9.823410034179688
0.1512499,-0.35434186458587646,-0.30885201692581177,9.818621635437012
0.1537499,-0.3519476354122162,-0.304063618183136,9.816226959228516
0.1562499,-0.3495534360408783,-0.2968810200691223,9.818621635437012
0.1587499,-0.3495534360408783,-0.2968810200691223,9.828198432922363
0.1612499,-0.3447650372982025,-0.2944868206977844,9.837775230407715
0.1637499,-0.3495534360408783,-0.2968810200691223,9.84495735168457
0.1662499,-0.3495534360408783,-0.2968810200691223,9.84495735168457
0.1687499,-0.35434186458587646,-0.2968810200691223,9.847352027893066
0.1712499,-0.36152446269989014,-0.2968810200691223,9.84495735168457
0.1737499,-0.3663128614425659,-0.2992752194404602,9.84495735168457
0.17624990000000001,-0.3711012601852417,-0.3064578175544739,9.840168952941895
0.1787499,-0.363918662071228,-0.30885201692581177,9.835380554199219
0.1812499,-0.363918662071228,-0.31364041566848755,9.828198432922363
0.1837499,-0.35673606395721436,-0.31124621629714966,9.825803756713867
0.1862499,-0.35913026332855225,-0.3064578175544739,9.825803756713867
0.1887499,-0.35913026332855225,-0.304063618183136,9.828198432922363
0.1912499,-0.35913026332855225,-0.3016694188117981,9.832986831665039
0.1937499,-0.36152446269989014,-0.2992752194404602,9.832986831665039
0.1962499,-0.36152446269989014,-0.2992752194404602,9.832986831665039
0.1987499,-0.363918662071228,-0.2992752194404602,9.825803756713867
0.2012499,-0.3663128614425659,-0.2968810200691223,9.823410034179688
0.2037499,-0.3687070608139038,-0.2992752194404602,9.818621635437012
0.2062499,-0.3663128614425659,-0.2992752194404602,9.818621635437012
0.20874990000000002,-0.36152446269989014,-0.2992752194404602,9.818621635437012
0.2112499,-0.36152446269989014,-0.2992752194404602,9.818621635437012
0.2137499,-0.3519476354122162,-0.3016694188117981,9.821015357971191
0.2162499,-0.3447650372982025,-0.304063618183136,9.830592155456543
0.2187499,-0.33997663855552673,-0.30885201692581177,9.832986831665039
0.2212499,-0.33997663855552673,-0.3064578175544739,9.840168952941895
0.2237499,-0.3447650372982025,-0.3064578175544739,9.840168952941895
0.2262499,-0.35434186458587646,-0.3064578175544739,9.835380554199219
0.2287499,-0.363918662071228,-0.3016694188117981,9.830592155456543
0.2312499,-0.3711012601852417,-0.2992752194404602,9.828198432922363
0.2337499,-0.37828385829925537,-0.2944868206977844,9.828198432922363
0.2362499,-0.3758896589279175,-0.28969839215278625,9.830592155456543
0.23874990000000001,-0.3687070608139038,-0.2849099934101105,9.830592155456543
0.2412499,-0.35673606395721436,-0.2849099934101105,9.837775230407715
0.2437499,-0.3495534360408783,-0.28730419278144836,9.837775230407715
0.2462499,-0.3447650372982025,-0.29209262132644653,9.84256362915039
0.2487499,-0.3471592366695404,-0.2968810200691223,9.84256362915039
0.2512499,-0.35434186458587646,-0.2968810200691223,9.84256362915039
0.25374990000000003,-0.363918662071228,-0.2968810200691223,9.835380554199219
0.25624990000000003,-0.3734954595565796,-0.2968810200691223,9.830592155456543
0.25874990000000003,-0.38067805767059326,-0.2944868206977844,9.825803756713867
0.26124990000000003,-0.37828385829925537,-0.2944868206977844,9.823410034179688
